name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
DOUE Desire,France,FWD,FRA,,,
HERNANDEZ Lucas,France,DEF,FRA,,,
MATETA Jean-Philippe,France,FWD,FRA,,,
RISSER Robin,France,GK,FRA,,,
CHERKI Rayan,France,MID,FRA,,,
AKLIOUCHE Maghnes,France,MID,FRA,,,
LACROIX Maxence,France,DEF,FRA,,,
NEUER Manuel,Germany,GK,GER,,,
RUEDIGER Antonio,Germany,DEF,GER,,,
ANTON Waldemar,Germany,DEF,GER,,,
TAH Jonathan,Germany,DEF,GER,,,
PAVLOVIC Aleksandar,Germany,MID,GER,,,
KIMMICH Joshua,Germany,DEF,GER,,,
HAVERTZ Kai,Germany,FWD,GER,,,
GORETZKA Leon,Germany,MID,GER,,,
LEWELING Jamie,Germany,MID,GER,,,
MUSIALA Jamal,Germany,MID,GER,,,
WOLTEMADE Nick,Germany,FWD,GER,,,
BAUMANN Oliver,Germany,GK,GER,,,
GROSS Pascal,Germany,MID,GER,,,
BEIER Maximilian,Germany,FWD,GER,,,
SCHLOTTERBECK Nico,Germany,DEF,GER,,,
STILLER Angelo,Germany,MID,GER,,,
WIRTZ Florian,Germany,MID,GER,,,
BROWN Nathaniel,Germany,DEF,GER,,,
SANE Leroy,Germany,MID,GER,,,
AMIRI Nadiem,Germany,MID,GER,,,
NUEBEL Alexander,Germany,GK,GER,,,
RAUM David,Germany,DEF,GER,,,
NMECHA Felix,Germany,MID,GER,,,
THIAW Malick,Germany,DEF,GER,,,
KARL Lennart,Germany,MID,GER,,,
UNDAV Deniz,Germany,FWD,GER,,,
